ProductId,Gender,Item-type,Itemcategory,ProductType,Colour,Pattern,Material,Brand,Style,Sub-Style,Specific Style,ProductTitle,Image,ImageURL
39582,Women,Footwear,Shoes,Heels,Brown,Solid,leather,H&M,Casual,Everyday,Basic,Catwalk Women Brown Flats,39582.jpg,http://assets.myntassets.com/v1/images/style/properties/72319583aaacca761bbca78e35fc9687_images.jpg
39980,Men,Footwear,Shoes,Casual Shoes,Brown,Solid,leather,Forever 21,Casual,Everyday,Basic,Gas Men Flint Brown Shoes,39980.jpg,http://assets.myntassets.com/v1/images/style/properties/a7a8fe472fe8efb3f3b92a1a21ba1b6f_images.jpg
54959,Men,Apparel,Topwear,Tshirts,Blue,Solid,leather,Gap,Casual,Everyday,Basic,Do u speak green Men Blue T-shirt,54959.jpg,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Men-Blue-T-shirt_be628e3930d00b2609a2ac2ae7a55021_images.jpg
16734,Men,Footwear,Flip Flops,Flip Flops,Maroon,Solid,leather,Uniqlo,Casual,Everyday,Basic,Lotto Men Emeriti Maroon Slipper,16734.jpg,http://assets.myntassets.com/v1/images/style/properties/7600f1237827bb23131b59a0c8b9a7bc_images.jpg
12847,Men,Apparel,Topwear,Tshirts,Black,Solid,leather,Tommy Hilfiger,Casual,Everyday,Basic,Ant Kids Men National Champion Black Tshirts,12847.jpg,http://assets.myntassets.com/v1/images/style/properties/09359395fafdff5f790e205af6465a8b_images.jpg
41861,Men,Footwear,Sandal,Sandals,Black,Solid,leather,Calvin Klein,Casual,Everyday,Basic,Estd. 1977 Men Black Sandals,41861.jpg,http://assets.myntassets.com/v1/images/style/properties/b996cb05ae7c16cabfa4cadc23818247_images.jpg
37534,Men,Apparel,Innerwear,Innerwear Vests,Blue,Solid,leather,Pepe Jeans,Casual,Everyday,Basic,Madagascar3 Men Blue Innerwear Vest,37534.jpg,http://assets.myntassets.com/v1/images/style/properties/052b64ef79b2ec2fddd019165dcaa7db_images.jpg
21863,Women,Apparel,Topwear,Tops,Yellow,Solid,leather,Peter England,Casual,Everyday,Basic,Chhota Bheem Kids Women Lets Catch Them Yellow Top,21863.jpg,http://assets.myntassets.com/v1/images/style/properties/fa10019b09df17da1f1abf127564d4a4_images.jpg
12957,Men,Footwear,Shoes,Sports Shoes,Grey,Geometric,cotton,Mufti,Sports,Active,Outdoor,ADIDAS Men Grey Sports Shoes,12957.jpg,http://assets.myntassets.com/v1/images/style/properties/285f77d54aa639885c93fbb6e886824b_images.jpg
11949,Men,Footwear,Shoes,Casual Shoes,Brown,Solid,leather,Provogue,Casual,Everyday,Basic,Ganuchi Men Casual Brown Casual Shoes,11949.jpg,http://assets.myntassets.com/v1/images/style/properties/45da55174d251a833af58e1aa162052d_images.jpg
29236,Women,Footwear,Sandal,Sports Sandals,Navy Blue,Solid,canvas,Arrow,Casual,Everyday,Basic,Puma Women Roque Navy Blue Sandals,29236.jpg,http://assets.myntassets.com/v1/images/style/properties/a4a99deb5ed6405de23b63091696a012_images.jpg
3594,Men,Footwear,Shoes,Casual Shoes,White,Solid,leather,Allen Solly,Casual,Everyday,Basic,Converse Men's Chuck Taylor Print OX White Canvas Shoe,3594.jpg,http://assets.myntassets.com/v1/images/style/properties/894464418a042a27101effb0c4e5e17b_images.jpg
26624,Women,Footwear,Shoes,Sports Shoes,Purple,Solid,leather,Benetton,Sports,Active,Outdoor,Puma Women Bodytrain Purple Sports Shoes,26624.jpg,http://assets.myntassets.com/v1/images/style/properties/6e3a89f22b6afb6c205096feb38bb722_images.jpg
22197,Men,Footwear,Shoes,Casual Shoes,Brown,Solid,leather,Jockey,Casual,Everyday,Basic,Timberland Men Brown Casual Shoes,22197.jpg,http://assets.myntassets.com/v1/images/style/properties/012a3c034f69c794277712a2904a629f_images.jpg
54544,Men,Footwear,Shoes,Sports Shoes,Black,Solid,leather,Kappa,Sports,Active,Outdoor,F Sports Men Black Pace Sports Shoes,54544.jpg,http://assets.myntassets.com/v1/images/style/properties/F-Sports-Men-Black-Pace-Sports-Shoes_564a9fd92f55538cafab82567a7fbce3_images.jpg
8357,Men,Apparel,Topwear,Tshirts,Green,Solid,canvas,Lacoste,Casual,Everyday,Basic,Doodle Boy's End Is Just Begining Green Kidswear,8357.jpg,http://assets.myntassets.com/v1/images/style/properties/0679f587e85082b827247be7d7ba5a17_images.jpg
9400,Men,Footwear,Shoes,Sports Shoes,Black,Floral,cotton,Marks & Spencer,Sports,Active,Outdoor,Nike Men Dual Fusion Black TR II Sports Shoes,9400.jpg,http://assets.myntassets.com/v1/images/style/properties/3ba767d12d769d771e11ce55a121f5ac_images.jpg
23840,Men,Footwear,Shoes,Casual Shoes,Brown,Solid,canvas,Aeropostale,Casual,Everyday,Basic,ADIDAS Men Brown Shoes,23840.jpg,http://assets.myntassets.com/v1/images/style/properties/b676624ef006e153f4ac61d5a70d31d8_images.jpg
56966,Women,Footwear,Shoes,Heels,Black,Solid,cotton,American Eagle,Casual,Everyday,Basic,HM Women Black Flats,56966.jpg,http://assets.myntassets.com/v1/images/style/properties/HM-Women-Black-Sandals_8b0fd5ae22b09a10df992be649faaabe_images.jpg
7753,Men,Footwear,Shoes,Sports Shoes,Black,Solid,canvas,Banana Republic,Sports,Active,Outdoor,Fila Men's Victory Black Shoe,7753.jpg,http://assets.myntassets.com/v1/images/style/properties/3090de677a92eb346719f0632e939062_images.jpg
23917,Women,Footwear,Shoes,Casual Shoes,White,Striped,canvas,Guess,Casual,Everyday,Basic,Fila Women Paramount White Casual Shoes,23917.jpg,http://assets.myntassets.com/v1/images/style/properties/99d4e17724e37f2779b7fccf6bfaa031_images.jpg
37267,Women,Apparel,Dress,Dresses,Red,Polka Dot,cotton,Hollister,Casual,Everyday,Basic,United Colors of Benetton Women Red Printed Dress,37267.jpg,http://assets.myntassets.com/v1/images/style/properties/United-Colors-of-Benetton-Women-Red-Printed-Dress_06324ea0ce0cb4cc0348695a608bc307_images.jpg
34010,Women,Apparel,Topwear,Tops,Black,Solid,cotton,Old Navy,Casual,Everyday,Basic,Gini and Jony Women Black Top,34010.jpg,http://assets.myntassets.com/v1/images/style/properties/93df8e213a98b53c57991ecfe37a68ec_images.jpg
34861,Men,Footwear,Shoes,Casual Shoes,Grey,Check,canvas,Versace,Casual,Everyday,Basic,Vans Men Era Grey Shoes,34861.jpg,http://assets.myntassets.com/v1/images/style/properties/637030c279a66196db7aa13ee458bdaa_images.jpg
29172,Women,Apparel,Bottomwear,Skirts,Pink,Floral,cotton,Flying Machine,Casual,Everyday,Basic,United Colors of Benetton Kids Women Printed Pink Skirt,29172.jpg,http://assets.myntassets.com/v1/images/style/properties/85470ee22d965c848c9cc4bebf05cc92_images.jpg
31090,Men,Apparel,Topwear,Shirts,Black,Solid,cotton,Fortune,Casual,Everyday,Basic,Gini and Jony Men Black Shirt,31090.jpg,http://assets.myntassets.com/v1/images/style/properties/d05fbaab67782fccbcbe4ec8d1d77ed7_images.jpg
31946,Men,Footwear,Shoes,Casual Shoes,Grey,Solid,canvas,Franco,Casual,Everyday,Basic,Nike Men Avid Grey Shoes,31946.jpg,http://assets.myntassets.com/v1/images/style/properties/860c3801d65995ce20b695cf1aea1a17_images.jpg
50194,Men,Apparel,Topwear,Tshirts,Black,Geometric,cotton,GAS,Casual,Everyday,Basic,Gini and Jony Men Black T-shirt,50194.jpg,http://assets.myntassets.com/v1/images/style/properties/0fbddfb7b4d428055c7ee385bffc655e_images.jpg
34036,Men,Apparel,Topwear,Shirts,Blue,Check,cotton,Gini & Jony,Casual,Everyday,Basic,Palm Tree Men Check Blue Shirt,34036.jpg,http://assets.myntassets.com/v1/images/style/properties/17d5cdd77de6f87ee2451b98f3466d88_images.jpg
8320,Men,Apparel,Topwear,Tshirts,Red,Geometric,cotton,Globalite,Casual,Everyday,Basic,Doodle Boy's Route 66 Biker Red Teen Kidswear,8320.jpg,http://assets.myntassets.com/v1/images/style/properties/a91625942bc70e1e531328c67e0456f2_images.jpg
31177,Women,Apparel,Topwear,Tops,Red,Solid,cotton,Grendha,Casual,Everyday,Basic,Gini and Jony Women Red Top,31177.jpg,http://assets.myntassets.com/v1/images/style/properties/04c7ce1d3a06c0c4d457ac1cc9f963ac_images.jpg
36722,Men,Apparel,Topwear,Tshirts,Red,Striped,cotton,Catwalk,Casual,Everyday,Basic,Gini and Jony Men Striped Red T-Shirt,36722.jpg,http://assets.myntassets.com/v1/images/style/properties/8dd898164adb76a9698375278cb83fd8_images.jpg
40125,Men,Apparel,Bottomwear,Shorts,Black,Solid,cotton,Carlton,Casual,Everyday,Basic,Gini and Jony Men Customised Black Shorts,40125.jpg,http://assets.myntassets.com/v1/images/style/properties/e5aca792d82cd3bd7134f1540341f747_images.jpg
36748,Men,Apparel,Apparel Set,Clothing Set,Blue,Geometric,cotton,Cobblerz,Casual,Everyday,Basic,Mr.Men Men Mr. Small Blue Clothing Set,36748.jpg,http://assets.myntassets.com/v1/images/style/properties/4a6a0aa40022d4f89eec3940517ac9ac_images.jpg
3332,Men,Apparel,Topwear,Tshirts,Red,Solid,leather,Decathlon,Sports,Active,Outdoor,RCB Men Fangear Tee,3332.jpg,http://assets.myntassets.com/v1/images/style/properties/RCB-Men-Fangear-Tee_683b90b0495d687abcd704bcca10cd00_images.jpg
3135,Women,Footwear,Shoes,Heels,Gold,Striped,leather,Disney,Casual,Everyday,Basic,Catwalk Women Heeded Golden Strap Black Heels,3135.jpg,http://assets.myntassets.com/v1/images/style/properties/33297561a7540d13c77164a3bbe276e4_images.jpg
20906,Women,Footwear,Shoes,Heels,Red,Solid,canvas,Fabindia,Casual,Everyday,Basic,Catwalk Women Casual Red Heels,20906.jpg,http://assets.myntassets.com/v1/images/style/properties/37e5078b917b88049642f0ff6091ea65_images.jpg
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Geometric,cotton,FILA,Casual,Everyday,Basic,Vans Men Khaki Shoes,49495.jpg,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Khaki-Shoes_dcaf7c703e9c0396650529df2b2a8893_images.jpg
34015,Women,Apparel,Dress,Dresses,Magenta,Solid,canvas,Fila,Casual,Everyday,Basic,Gini and Jony Women Pink Dress,34015.jpg,http://assets.myntassets.com/v1/images/style/properties/a796ba0a28290e5db9a37bff847b4a9b_images.jpg
37249,Men,Footwear,Shoes,Casual Shoes,Brown,Solid,leather,Ganuchi,Casual,Everyday,Basic,United Colors of Benetton Men Brown Shoes,37249.jpg,http://assets.myntassets.com/v1/images/style/properties/d4636e23006874ae87dde460f7724909_images.jpg
13641,Women,Footwear,Shoes,Heels,Navy Blue,Solid,leather,Gliders,Casual,Everyday,Basic,Carlton London Women Casual Navy Flats,13641.jpg,http://assets.myntassets.com/v1/images/style/properties/5e9b1d5ccef16fdb38cbbf5cce3b3b1c_images.jpg
40156,Women,Apparel,Topwear,Tops,Green,Solid,canvas,Hannah,Casual,Everyday,Basic,Gini and Jony Women Core Green Top,40156.jpg,http://assets.myntassets.com/v1/images/style/properties/8ff78487998ce3099322d79f8a3798f7_images.jpg
46597,Women,Footwear,Shoes,Heels,Mushroom Brown,Solid,leather,ID,Casual,Everyday,Basic,Catwalk Women Mushroom Brown Heels,46597.jpg,http://assets.myntassets.com/v1/images/style/properties/Catwalk-Women-Camel-Brown-Sandals_5302859e277637b650bc8292a696e7b5_images.jpg
8324,Men,Apparel,Topwear,Tshirts,White,Solid,canvas,Inc,Casual,Everyday,Basic,Doodle Boy's Athletic 77 Dept White Kidswear,8324.jpg,http://assets.myntassets.com/v1/images/style/properties/4c5a824570499b10fd868889c206f799_images.jpg
8375,Women,Apparel,Topwear,Tshirts,Blue,Solid,leather,Jockey,Casual,Everyday,Basic,Doodle Girl's Dont Worry Hippie Blue Teen Kidswear,8375.jpg,http://assets.myntassets.com/v1/images/style/properties/e487ee81516bcf0246bf2403748ed894_images.jpg
15268,Women,Footwear,Shoes,Casual Shoes,Purple,Solid,leather,Kappa,Casual,Everyday,Basic,ADIDAS Originals Women Rekapi Purple Casual Shoes,15268.jpg,http://assets.myntassets.com/v1/images/style/properties/940f1a66a6bab802829dad90513ec1f7_images.jpg
31150,Men,Apparel,Topwear,Tshirts,Navy Blue,Solid,canvas,Lacoste,Casual,Everyday,Basic,Gini and Jony Men Printed Navy Blue T-shirt,31150.jpg,http://assets.myntassets.com/v1/images/style/properties/c022178d134cdefba81a5e8d142ecb25_images.jpg
22284,Women,Footwear,Shoes,Heels,Gold,Solid,canvas,Marks & Spencer,Casual,Everyday,Basic,Inc. 5 Women Casual Golden Heels,22284.jpg,http://assets.myntassets.com/v1/images/style/properties/90b31e1c36831018e81a56a62ff3eb13_images.jpg
6619,Men,Footwear,Shoes,Sports Shoes,White,Solid,leather,Mufti,Sports,Active,Outdoor,ADIDAS Men's Boris White Shoe,6619.jpg,http://assets.myntassets.com/v1/images/style/properties/2aacd81da075c8d9cb891276bd9dbc9e_images.jpg
35887,Men,Apparel,Topwear,Tshirts,Yellow,Solid,leather,Pepe Jeans,Casual,Everyday,Basic,Jungle Book Men Mowgali Yellow T-shirt,35887.jpg,http://assets.myntassets.com/v1/images/style/properties/fa6ec7a5404534e4974d09a421ac2825_images.jpg
23679,Men,Footwear,Shoes,Casual Shoes,Black,Solid,leather,Peter England,Casual,Everyday,Basic,Red Tape Men Mocassins Black Casual Shoes,23679.jpg,http://assets.myntassets.com/v1/images/style/properties/fe190c0bcadd3318af38d63b93a9b40e_images.jpg
13473,Women,Footwear,Shoes,Flats,White,Solid,leather,Provogue,Casual,Everyday,Basic,Rocia Women White Heels,13473.jpg,http://assets.myntassets.com/v1/images/style/properties/802e7195e5425820cc1e9e1568b80c6d_images.jpg
3620,Women,Footwear,Flip Flops,Flip Flops,Green,Solid,leather,Red Tape,Casual,Everyday,Basic,Puma Women's Coral Green White Flip Flop,3620.jpg,http://assets.myntassets.com/v1/images/style/properties/54886447b440c758c960390254f7a1c8_images.jpg
2642,Men,Footwear,Shoes,Formal Shoes,Black,Solid,leather,Reebok,Formal,Business,Professional,Carlton London Men Semi Formal Black Shoe,2642.jpg,http://assets.myntassets.com/v1/images/style/properties/e571426e3de987910f5bdd984338bd77_images.jpg
17615,Men,Apparel,Topwear,Tshirts,White,Solid,leather,Skechers,Casual,Everyday,Basic,Doodle Men living Upto White Tshirt,17615.jpg,http://assets.myntassets.com/v1/images/style/properties/1cbaf5223bd7a31025df3c3aa9a6d7f5_images.jpg
4216,Women,Apparel,Topwear,Tshirts,Yellow,Solid,leather,Sparx,Casual,Everyday,Basic,Disney Kids Girl's Yellow Fun In The Fair Kidswear,4216.jpg,http://assets.myntassets.com/v1/images/style/properties/3458de8c3de523b83e802072d4c7be75_images.jpg
10671,Men,Apparel,Bottomwear,Shorts,Green,Solid,leather,Tommy Hilfiger,Casual,Everyday,Basic,Doodle Boy Army  Green Shorts,10671.jpg,http://assets.myntassets.com/v1/images/style/properties/b9e9274cbb60758fc935f64d9dbc1bdc_images.jpg
47613,Women,Footwear,Shoes,Heels,Brown,Solid,leather,UCB,Casual,Everyday,Basic,Portia Women Brown Heels,47613.jpg,http://assets.myntassets.com/v1/images/style/properties/01f500f73b812dc08b97bcfa30be6855_images.jpg
15520,Men,Footwear,Shoes,Casual Shoes,Black,Solid,leather,US Polo Assn,Casual,Everyday,Basic,Rockport Men CV Wing Black Casual Shoes,15520.jpg,http://assets.myntassets.com/v1/images/style/properties/a5f34ba3e351e71badbf97de3ae80c15_images.jpg
37632,Women,Apparel,Topwear,Tshirts,Pink,Striped,cotton,Under Armour,Casual,Everyday,Basic,Madagascar3 Women Pink Printed T-Shirt,37632.jpg,http://assets.myntassets.com/v1/images/style/properties/4df37f301e937b3a7063593502a9ac7a_images.jpg
33141,Men,Apparel,Topwear,Tshirts,Green,Geometric,cotton,Uniqlo,Casual,Everyday,Basic,Palm Tree Men Printed Green T-shirt,33141.jpg,http://assets.myntassets.com/v1/images/style/properties/1eb7fb527f85ba592d78e6c088c97944_images.jpg
38884,Men,Apparel,Topwear,Tshirts,Red,Solid,cotton,Van Heusen,Casual,Everyday,Basic,Allen Solly Kids Men Flock Print Red T-shirt,38884.jpg,http://assets.myntassets.com/v1/images/style/properties/4c950f476e72f7461569962b70071b1a_images.jpg
59761,Women,Footwear,Shoes,Flats,Black,Striped,cotton,Vans,Casual,Everyday,Basic,Rocia Women Black Flats,59761.jpg,http://assets.myntassets.com/v1/images/style/properties/Rocia-Women-Black-Sandals_7796d3caa6e99e05cade5c683b1075c8_images.jpg
9053,Men,Footwear,Shoes,Sports Shoes,Grey,Solid,cotton,Versace,Sports,Athletic,Training,ADIDAS Men Duramo 3 M Grey Sports Shoes,9053.jpg,http://assets.myntassets.com/v1/images/style/properties/0ebc15dcb00d4f2315f8341ee05b19a7_images.jpg
39974,Men,Footwear,Shoes,Casual Shoes,Brown,Geometric,cotton,Woodland,Casual,Everyday,Basic,Gas Men Brown Lear Shoes,39974.jpg,http://assets.myntassets.com/v1/images/style/properties/Gas-Men-Khaki-Lear-Shoes_ee1f9af8c60c3670398b9251193f3d58_images.jpg
3134,Women,Footwear,Shoes,Heels,Silver,Floral,cotton,Wrangler,Casual,Everyday,Basic,Catwalk Women Flat Studded Crystal Silver Flats,3134.jpg,http://assets.myntassets.com/v1/images/style/properties/513613320d9fb0f3d3e7debe088314e1_images.jpg
59759,Women,Footwear,Shoes,Heels,Black,Solid,cotton,Yonex,Casual,Everyday,Basic,Rocia Women Black Flats,59759.jpg,http://assets.myntassets.com/v1/images/style/properties/Rocia-Women-Black-Sandals_f3f53c88b054b32a42c327acfe3172f5_images.jpg
37582,Women,Apparel,Bottomwear,Shorts,White,Solid,leather,Zara,Casual,Everyday,Basic,Madagascar3 Women White Shorts,37582.jpg,http://assets.myntassets.com/v1/images/style/properties/57db07637eef4f28453982d5cccb5e9b_images.jpg
34857,Men,Footwear,Shoes,Casual Shoes,Black,Solid,leather,Adidas,Casual,Everyday,Basic,Vans Men Classic Slip-On Black Shoes,34857.jpg,http://assets.myntassets.com/v1/images/style/properties/0e41c416bc349faead7ebe8851e1a398_images.jpg
3817,Men,Apparel,Topwear,Tshirts,Yellow,Geometric,cotton,Nike,Casual,Everyday,Basic,Disney Kids Boy's Yellow Squirrel Kidswear,3817.jpg,http://assets.myntassets.com/v1/images/style/properties/edfd824980413fc119008c311a43dac3_images.jpg
17029,Men,Footwear,Flip Flops,Flip Flops,Black,Solid,cotton,Puma,Casual,Everyday,Basic,GAS Men Black Pine Flip Flops,17029.jpg,http://assets.myntassets.com/v1/images/style/properties/GAS-Men-Black-Pine-Flip-Flops_f6fcae18401c1c1fb8ab5b29c76d0781_images.jpg
49584,Women,Footwear,Shoes,Heels,Black,Striped,cotton,Reebok,Casual,Everyday,Basic,Catwalk Women Black Heels,49584.jpg,http://assets.myntassets.com/v1/images/style/properties/d18df7f2763d6695181967fc55bfc2cc_images.jpg
58815,Women,Footwear,Shoes,Casual Shoes,Black,Solid,cotton,Converse,Casual,Everyday,Basic,Skechers Women Black Casual Shoes,58815.jpg,http://assets.myntassets.com/v1/images/style/properties/Skechers-Women-Black-Casual-Shoes_22cf18aca86b22b5924ac426eee23348_images.jpg
52130,Women,Apparel,Dress,Dresses,Blue,Solid,cotton,Vans,Casual,Everyday,Basic,Doodle Women Blue Printed Dress,52130.jpg,http://assets.myntassets.com/v1/images/style/properties/abb64251bc6bf52e4a3b855bc4edb4dd_images.jpg
34041,Men,Apparel,Topwear,Shirts,Red,Solid,canvas,Skechers,Casual,Everyday,Basic,Gini and Jony Men Check Red Shirt,34041.jpg,http://assets.myntassets.com/v1/images/style/properties/a96efca0f29cae8afbea610f0eeab7a8_images.jpg
5691,Men,Footwear,Shoes,Casual Shoes,White,Solid,leather,Crocs,Casual,Everyday,Basic,Skechers Men's Regions Off White Shoe,5691.jpg,http://assets.myntassets.com/v1/images/style/properties/e508e488636ba30755268cd5b917f465_images.jpg
32813,Women,Footwear,Shoes,Heels,Purple,Solid,leather,Clarks,Casual,Everyday,Basic,iPanema Women Ritmos Purple Flats,32813.jpg,http://assets.myntassets.com/v1/images/style/properties/2973d20df2b2c3a9368b64cd0aab623a_images.jpg
37576,Women,Apparel,Socks,Booties,White,Solid,canvas,Bata,Casual,Everyday,Basic,Madagascar 3 Infant Women White Booties,37576.jpg,http://assets.myntassets.com/v1/images/style/properties/fb0b4f85873f045107207dd9da40e56c_images.jpg
37596,Men,Apparel,Topwear,Tshirts,Navy Blue,Geometric,cotton,ASICS,Casual,Everyday,Basic,Madagascar3 Men Navy Blue Printed T-Shirt,37596.jpg,http://assets.myntassets.com/v1/images/style/properties/d8ea01af4102cefd98d5a06874f471ab_images.jpg
47531,Women,Footwear,Shoes,Flats,Gold,Solid,cotton,New Balance,Casual,Everyday,Basic,Portia Women Purple & Gold-Toned Sandals,47531.jpg,http://assets.myntassets.com/v1/images/style/properties/d800bd118652499f2d22d3bbe799be8a_images.jpg
13271,Women,Footwear,Shoes,Heels,Gold,Striped,cotton,Under Armour,Casual,Everyday,Basic,Inc 5 Women Casual Gold Heels,13271.jpg,http://assets.myntassets.com/v1/images/style/properties/69a250614c8c1fbea5c03a04f9fa12a6_images.jpg
20802,Men,Footwear,Shoes,Sports Shoes,White,Solid,cotton,Woodland,Sports,Athletic,Training,Fila Men Racer White Sports Shoes,20802.jpg,http://assets.myntassets.com/v1/images/style/properties/89f6d664a27c88ebf7d6fc3498875fb9_images.jpg
30723,Men,Apparel,Topwear,Kurtas,Blue,Solid,cotton,Sparx,Ethnic,Traditional,Cultural,Fabindia Men Printed Blue Kurta,30723.jpg,http://assets.myntassets.com/v1/images/style/properties/99ec97b9a4d7517c59a63ca000ad2def_images.jpg
11985,Men,Footwear,Shoes,Sports Shoes,Black,Solid,leather,Red Tape,Sports,Athletic,Training,Fila Men Glow Black Sports Shoes,11985.jpg,http://assets.myntassets.com/v1/images/style/properties/4bfce78151c396213aa4ce1ad204468b_images.jpg
41299,Women,Apparel,Topwear,Tops,Pink,Solid,leather,UCB,Casual,Everyday,Basic,Gini and Jony Women Pink Top,41299.jpg,http://assets.myntassets.com/v1/images/style/properties/f3b1ecf791b3086923c0d24278503c3d_images.jpg
